ID	Education	Gender	Wage	Country
1	11	1	5313	US
2	15	2	5398.8	US
3	10	1	3764.4	US
4	11	2	3882.9	US
5	17	1	6849.9	US
6	16	1	6432.3	US
7	10	2	3414.3	US
8	17	1	6789.7	US
9	12	2	4113.7	US
10	13	1	5190.9	US
11	17	1	6787.9	US
12	14	2	4914.5	US
13	9	1	3669.5	US
14	14	2	4931.9	US
15	17	1	6877.3	US
16	9	1	3526.2	US
17	13	2	4564.6	US
18	15	1	6105.2	US
19	19	2	7215.9	US
20	14	1	5479.5	US
21	18	1	7175.4	US
22	13	2	4719.7	US
23	17	1	6940.6	US
24	14	2	4905.2	US
25	14	1	5729.8	US
26	12	1	4913.8	US
27	10	2	3481.9	US
28	15	1	5941.3	US
29	11	2	3728.3	US
30	11	1	5490	US
31	16	1	6332	US
32	12	2	4280	US
33	14	1	5699.6	US
34	18	2	6617	US
35	16	1	6430.1	US
36	13	1	5225.4	US
37	10	2	3277.6	US
38	14	1	5520.5	US
39	16	2	5689.7	US
40	10	1	5142.3	US
41	12	1	4863.8	US
42	11	2	3792.8	US
43	17	1	6850.3	US
44	15	2	5359.6	US
45	17	1	6688.3	US
46	9	1	4525.7	US
47	10	2	3375.4	US
48	17	1	7829.9	US
49	10	2	3469.8	US
50	12	1	4893.1	US
51	15	1	6129.2	US
52	13	2	4675.5	US
53	10	1	3883.8	US
54	12	2	4186.8	US
55	15	1	5916	US
56	11	1	4365.9	US
57	15	2	5425.4	US
58	11	1	4454.2	US
59	17	2	6179.5	US
60	19	1	7665.4	US
61	16	1	6341.3	US
62	10	2	3473.7	US
63	13	1	5176.2	US
64	12	2	4267.9	US
65	11	1	4261.1	US
66	13	1	5210.4	US
67	18	2	6532.4	US
68	10	1	4120.1	US
69	9	2	2937.7	US
70	13	1	5094.5	US
71	15	1	5928.9	US
72	17	2	6090.3	US
73	20	1	8110.3	US
74	9	2	3141.8	US
75	16	1	6593.6	US
76	19	1	7685.3	US
77	11	2	3705	US
78	9	1	4549	US
79	14	2	4895.6	US
80	16	1	6214.2	US
81	16	1	6489	US
82	17	2	6107.4	US
83	15	1	6137.6	US
84	16	2	6069	US
85	17	1	6681.6	US
86	15	1	7169.3	US
87	10	2	3351.4	US
88	13	1	5229	US
89	16	2	5835.2	US
90	19	1	7508.2	US
91	9	1	3525.2	US
92	15	2	5400.2	US
93	18	1	7233.4	US
94	10	2	3273.6	US
95	12	1	4856.7	US
96	16	1	7428.8	US
97	17	2	6180.9	US
98	17	1	6679.9	US
99	15	2	5366	US
100	11	1	4558.8	US
101	14	1	5632.9	US
102	14	2	4982.2	US
103	19	1	7626.8	US
104	16	2	5819.8	US
105	13	1	5157	US
106	14	1	5783.1	US
108	12	1	4782.9	US
109	16	2	5862	US
110	13	1	5136.4	US
111	12	1	4831	US
112	9	2	3075.4	US
113	15	1	6142.1	US
114	13	2	4659.2	US
115	12	1	4833.2	US
116	14	1	5522.1	US
117	14	2	4951.9	US
118	17	1	6878.5	US
119	14	2	4824.7	US
120	12	1	4713.2	US
121	10	1	4042.8	US
122	16	2	5911.7	US
123	13	1	5127.7	US
124	15	2	5311.4	US
125	12	1	4912.8	US
126	15	1	6058.8	US
127	15	2	5463.6	US
128	15	1	5982.3	US
129	16	2	5748.8	US
130	12	1	4751.9	US
131	17	1	6728.1	US
132	13	2	4559	US
133	11	1	4176.2	US
134	21	2	7829.7	US
135	12	1	4748.9	US
136	20	1	7993.6	US
137	12	2	4313.6	US
138	12	1	4716.4	US
139	16	2	5677	US
140	13	1	5251.8	US
141	16	1	6458.3	US
142	14	2	5013.3	US
143	11	1	4331.5	US
144	14	2	4983.4	US
145	13	1	5275.2	US
146	12	1	4742.7	US
147	14	2	5065.7	US
148	18	1	7170.4	US
149	18	2	6604.7	US
150	16	1	6511.9	US
151	20	1	7907.5	US
152	12	2	4289.8	US
153	14	1	5433.1	US
154	19	2	6865.8	US
155	13	1	5089.7	US
156	15	1	6039.9	US
157	13	2	4535.3	US
158	14	1	5509.9	US
159	11	2	3927.5	US
160	16	1	6455.3	US
161	16	1	6554.6	US
162	19	2	6968.2	US
163	15	1	5989.9	US
164	15	2	5345.6	US
165	15	1	5942.8	US
166	16	1	6376.1	US
167	18	2	6738.9	US
168	17	1	6852	US
169	13	2	4738.7	US
170	19	1	7571.6	US
171	10	1	4176.8	US
172	10	2	3274.9	US
173	10	1	3973.2	US
174	15	2	5259.8	US
175	15	1	5978.6	US
176	10	1	3931.8	US
177	14	2	4894.6	US
178	13	1	5246.5	US
179	17	2	6197.5	US
180	20	1	7971.2	US
181	16	1	6443	US
182	15	2	5510.9	US
183	15	1	6106	US
184	12	2	4057.1	US
185	15	1	6167.7	US
186	14	1	5736.1	US
187	12	2	4144.2	US
188	17	1	6657.3	US
189	12	2	4144.2	US
190	12	1	4949.4	US
191	20	1	7864.3	US
192	14	2	5152.4	US
193	12	1	4731.5	US
194	12	2	4069.2	US
195	8	1	3060.7	US
196	20	1	7779.9	US
197	11	2	3839.2	US
198	16	1	6335.5	US
199	15	2	5532.7	US
200	17	1	6948.8	US
201	16	1	6281.2	US
202	12	2	4204.4	US
203	18	1	7078.1	US
204	17	2	6219.7	US
205	17	1	6859	US
206	17	1	6802.5	US
207	13	2	4385.5	US
208	14	1	5698	US
209	16	2	5757.4	US
210	16	1	6455.1	US
211	10	1	4011.5	US
212	12	2	4136.9	US
213	14	1	5651.1	US
214	15	2	5468.7	US
215	15	1	5972.4	US
216	13	1	5182.5	US
217	13	2	4519.2	US
218	15	1	5825.3	US
219	16	2	5733	US
220	12	1	4695.6	US
221	17	1	6883.6	US
222	11	2	3875.1	US
223	15	1	5941.9	US
224	13	2	4456.9	US
225	18	1	7131.4	US
226	10	1	3928	US
227	18	2	6506.9	US
228	13	1	5311.4	US
229	13	2	4597.6	US
230	15	1	5934.8	US
231	16	1	6319.1	US
232	15	2	5415.9	US
233	15	1	5965.2	US
235	13	1	5067	US
236	9	1	3766.4	US
237	14	2	4824.3	US
238	14	1	5457.2	US
239	15	2	5538.5	US
240	14	1	5524.5	US
241	8	1	3276.4	US
242	14	2	4928	US
243	16	1	6439.1	US
244	17	2	6141.5	US
245	10	1	4015.5	US
